Medicion,diametro,Tipo,Grupo
1,2.4,2,1
2,2.4,2,1
3,2.4,2,1
4,2.4,2,1
5,2.4,2,1
6,2.4,2,1
7,2.4,2,1
8,2.4,2,1
9,2.4,2,1
10,2.4,2,1
11,2.4,2,1
12,2.4,2,1
13,2.4,2,1
14,2.4,2,1
15,2.4,2,1
16,2.2,1,2
17,2.3,1,2
18,2.2,1,2
19,2.3,1,2
20,2.2,1,2
21,2.3,1,2
22,2.4,1,2
23,2.5,1,2
24,2.4,1,2
25,2.35,1,2
26,2.2,1,2
27,2.2,1,2
28,2.2,1,2
29,2.18,1,2
30,2.2,1,2
31,2.4,2,3
32,2.5,2,3
33,2.5,2,3
34,2.5,2,3
35,2.4,2,3
36,2.4,2,3
37,2.4,2,3
38,2.5,2,3
39,2.5,2,3
40,2.6,2,3
41,2.5,2,3
42,2.6,2,3
43,2.2,1,4
44,2.3,1,4
45,2.3,1,4
46,2.3,1,4
47,2.2,1,4
48,2.3,1,4
49,2.3,1,4
50,2.2,1,4
51,2.2,1,4
52,2.2,1,4
53,2.3,1,4
54,2.3,1,4
55,2.2,1,4
56,2.3,1,4
57,2.2,1,4
58,2.3,1,4
59,2.3,1,4
60,2.3,1,4
61,2.3,2,5
62,2.3,2,5
63,2.3,2,5
64,2.47,2,5
65,2.47,2,5
66,2.47,2,5
67,2.4,2,5
68,2.4,2,5
69,2.4,2,5
70,2.4,2,5
71,2.4,2,5
72,2.4,2,5
73,2.2,2,5
74,2.3,2,5
75,2.2,2,5
76,2.2,1,7
77,2.2,1,7
78,2.2,1,7
79,2.3,1,7
80,2.2,1,7
81,2.3,1,7
82,2.3,1,7
83,2.2,1,7
84,2.3,1,7
85,2.2,1,7
86,2.3,1,7
87,2.3,1,7
88,2.3,1,7
89,2.2,1,7
90,2.3,1,7
91,2.3,1,7
92,2.3,1,7
93,2.3,1,7
94,2.3,5,8
95,2.3,5,8
96,2.3,5,8
97,2.3,5,8
98,2.3,5,8
99,2.2,5,8
100,2.2,5,8
101,2.3,5,8
102,2.2,5,8
103,2.3,5,8
104,2.2,5,8
105,2.4,2,9
106,2.4,2,9
107,2.4,2,9
108,2.3,2,9
109,2.2,2,9
110,2.3,2,9
111,2.4,2,9
112,2.4,2,9
113,2.4,2,9
114,2.4,2,9
115,2.4,2,9
116,2.5,2,9
117,2.4,2,9
118,2.3,2,9
119,2.4,2,9
120,2.4,2,9
121,2.4,2,9
122,2.4,2,9
